0.006;0.01;15;149;356;0.87596023;0.9742957;0.8608312;0.8892339;0.3770008;79.54643
0.007;0.01;15;108;315;0.83753496;0.95440257;0.8578011;0.8472395;0.35858655;77.11129
0.008;0.01;15;93;263;0.81023186;0.9488361;0.8429837;0.85175383;0.36339572;76.344025
0.009;0.01;15;72;222;0.77552;0.9261905;0.8460522;0.8400653;0.3608927;74.97442
0.01;0.01;15;61;217;0.7371644;0.8963601;0.85212076;0.8228434;0.3147185;72.46414
0.011;0.01;15;61;221;0.7822175;0.89413726;0.8632359;0.82920355;0.32412732;73.85843
0.012;0.01;15;58;214;0.76341563;0.8860837;0.8697246;0.80225337;0.31896555;72.80885
0.013;0.01;15;58;212;0.7657985;0.8873153;0.8702174;0.8024033;0.31907701;72.896225
0.014;0.01;15;58;218;0.77272964;0.8836207;0.86973035;0.8085147;0.3207244;73.1064
0.015;0.01;15;56;215;0.76167405;0.8763228;0.8697044;0.8175378;0.3168002;72.84079
0.016;0.01;15;56;215;0.76167405;0.8763228;0.8697044;0.8175378;0.3168002;72.84079
0.017;0.01;15;56;215;0.76167405;0.8763228;0.8697044;0.8175378;0.3168002;72.84079
0.018;0.01;15;56;215;0.76167405;0.8763228;0.8697044;0.8175378;0.3168002;72.84079
0.019;0.01;15;56;215;0.76169145;0.8763228;0.8676781;0.81763554;0.3170098;72.80675
